"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000216436.2","HAVANA","gene",NA,NA,"ENSG00000216436.2","unprocessed_pseudogene","H2AC2P","2","HGNC:18720","OTTHUMG00000014405.2"
"ENSG00000216439.1","HAVANA","gene",NA,NA,"ENSG00000216439.1","processed_pseudogene","DUTP5","1","HGNC:39518","OTTHUMG00000015136.1"
"ENSG00000216444.1","HAVANA","gene",NA,NA,"ENSG00000216444.1","processed_pseudogene","RAET1M","2","HGNC:16799","OTTHUMG00000015816.1"
"ENSG00000216471.3","HAVANA","gene",NA,NA,"ENSG00000216471.3","processed_pseudogene","RPSAP43","1","HGNC:35501","OTTHUMG00000015413.1"
"ENSG00000216475.1","HAVANA","gene",NA,NA,"ENSG00000216475.1","processed_pseudogene","AL024474.1","1",NA,"OTTHUMG00000015741.1"
"ENSG00000216480.2","HAVANA","gene",NA,NA,"ENSG00000216480.2","processed_pseudogene","AL078604.1","1",NA,"OTTHUMG00000015932.2"
"ENSG00000216490.4","HAVANA","gene",NA,NA,"ENSG00000216490.4","protein_coding","IFI30","2","HGNC:5398","OTTHUMG00000183373.6"
"ENSG00000216516.1","HAVANA","gene",NA,NA,"ENSG00000216516.1","processed_pseudogene","AL645733.1","1",NA,"OTTHUMG00000015948.1"
"ENSG00000216518.1","HAVANA","gene",NA,NA,"ENSG00000216518.1","processed_pseudogene","EEF1GP6","1","HGNC:44561","OTTHUMG00000015243.1"
"ENSG00000216519.2","HAVANA","gene",NA,NA,"ENSG00000216519.2","processed_pseudogene","AL023284.1","1",NA,"OTTHUMG00000016407.2"
"ENSG00000216523.1","HAVANA","gene",NA,NA,"ENSG00000216523.1","processed_pseudogene","AL109941.1","2",NA,"OTTHUMG00000015130.1"
"ENSG00000216548.2","HAVANA","gene",NA,NA,"ENSG00000216548.2","processed_pseudogene","AL357084.1","1",NA,"OTTHUMG00000015702.2"
"ENSG00000216560.4","HAVANA","gene",NA,NA,"ENSG00000216560.4","lncRNA","LINC00955","1","HGNC:26644","OTTHUMG00000159817.6"
"ENSG00000216588.9","HAVANA","gene",NA,NA,"ENSG00000216588.9","protein_coding","IGSF23","1","HGNC:40040","OTTHUMG00000151531.5"
